40.04925574	116.3438497	"116.3438497,40.04925574"
40.0492692	116.3438441	"116.3438441,40.0492692"
40.04927892	116.3438413	"116.3438413,40.04927892"
40.04929334	116.3438343	"116.3438343,40.04929334"
40.0493279	116.3438409	"116.3438409,40.0493279"
40.04937182	116.3438245	"116.3438245,40.04937182"
40.04943147	116.3438043	"116.3438043,40.04943147"
40.04950075	116.343779	"116.343779,40.04950075"
40.0495878	116.3437672	"116.3437672,40.0495878"
40.04967411	116.3437374	"116.3437374,40.04967411"
40.04976363	116.3436934	"116.3436934,40.04976363"
40.04986198	116.3436599	"116.3436599,40.04986198"
40.04996255	116.3436201	"116.3436201,40.04996255"
40.05005959	116.3435665	"116.3435665,40.05005959"
40.05016557	116.3435271	"116.3435271,40.05016557"
40.05027383	116.3434872	"116.3434872,40.05027383"
40.05038334	116.3434467	"116.3434467,40.05038334"
40.05049596	116.343406	"116.343406,40.05049596"
40.05062005	116.3433768	"116.3433768,40.05062005"
40.05073285	116.3433257	"116.3433257,40.05073285"
40.05084635	116.3432858	"116.3432858,40.05084635"
40.05095546	116.3432486	"116.3432486,40.05095546"
40.05105761	116.3432127	"116.3432127,40.05105761"
40.05115061	116.3431803	"116.3431803,40.05115061"
40.05121782	116.3431205	"116.3431205,40.05121782"
40.05128639	116.3430938	"116.3430938,40.05128639"
40.05133945	116.3430746	"116.3430746,40.05133945"
40.05137985	116.3430598	"116.3430598,40.05137985"
40.05140774	116.3430493	"116.3430493,40.05140774"
40.05142112	116.3430421	"116.3430421,40.05142112"
