lng,lat,lng_bd,lat_bd
116.3438497,40.04925574,116.3566224,40.05629467
116.3438441,40.0492692,116.3566168,40.05630807
116.3438413,40.04927892,116.356614,40.05631776
116.3438343,40.04929334,116.356607,40.05633211
116.3438409,40.0493279,116.3566136,40.05636674
116.3438245,40.04937182,116.3565973,40.05641048
116.3438043,40.04943147,116.3565771,40.05646992
116.343779,40.04950075,116.3565518,40.05653892
116.3437672,40.0495878,116.3565401,40.05662585
116.3437374,40.04967411,116.3565103,40.05671184
116.3436934,40.04976363,116.3564664,40.05680089
116.3436599,40.04986198,116.3564329,40.05689888
116.3436201,40.04996255,116.3563932,40.05699903
116.3435665,40.05005959,116.3563396,40.0570955
116.3435271,40.05016557,116.3563003,40.05720106
116.3434872,40.05027383,116.3562604,40.0573089
116.3434467,40.05038334,116.35622,40.05741799
116.343406,40.05049596,116.3561794,40.05753019
116.3433768,40.05062005,116.3561502,40.05765398
116.3433257,40.05073285,116.3560992,40.05776625
116.3432858,40.05084635,116.3560593,40.05787934
116.3432486,40.05095546,116.3560222,40.05798806
116.3432127,40.05105761,116.3559864,40.05808985
116.3431803,40.05115061,116.355954,40.05818252
116.3431205,40.05121782,116.3558943,40.05824911
116.3430938,40.05128639,116.3558676,40.05831741
116.3430746,40.05133945,116.3558484,40.05837028
116.3430598,40.05137985,116.3558336,40.05841053
116.3430493,40.05140774,116.3558232,40.05843831
116.3430421,40.05142112,116.355816,40.05845162
